ads_id,price,description,address,lat,lng
230,1281.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
231,1326.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
232,1579.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
233,1389.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
234,1345.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
235,1608.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
236,1200.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
237,1200.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
238,1640.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
239,1830.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
240,1297.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
241,1739.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
242,1247.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
243,1325.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
244,1755.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
245,1260.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
246,1338.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
247,1772.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
248,1351.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
249,1788.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
250,1284.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
251,1364.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
252,1804.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
253,1653.0,,"Helsinki, Kalasatama, Capellan puistotie 4",60.1842406,24.982403
254,868.29,,"Espoo, Ymmersta, Ullantorpantie 8 A",60.20465910000001,24.7055545
255,2800.0,,"Helsinki, Kamppi, Kalevankatu 40 A",60.164753,24.9309354
256,1950.0,,"Espoo, Noykkio, Metsatie 17",60.1579054,24.6721172
257,1350.0,,"Helsinki, Lauttasaari, Italahdenkatu 2",60.14756130000001,24.8823119
258,1520.47,,"Helsinki, Viikki, Viikinportti 2",60.2265964,25.008537
259,1060.0,,"Helsinki, Sornainen, Paaskylanrinne 8 A",60.1881862,24.9666316
260,665.0,,"Helsinki, Yla-Malmi, Markkinatie 6 B",60.25143269999999,25.0048989
261,867.0,,"Espoo, Espoon keskus, Asemakuja 1",60.2044552,24.6596798
262,905.0,,"Espoo, Kivenlahti, Jalkimaininki 4",60.1540942,24.6440628
263,575.0,,"Espoo, Suvela, Sokinvuorenrinne 4 A",60.2004173,24.6680631
264,630.0,,"Helsinki, Munkkivuori, Ulvilantie 29/5 B",60.2077574,24.8749137
265,1600.0,,"Espoo, Hannusjarvi, Katajatie 15",60.1484215,24.6696311
266,852.0,,"Helsinki, Pajamaki, Poutamaentie 7",60.21762210000001,24.8558245
