ads_id,price,description,address,lat,lng
12,865.0,,"Espoo, Suurpelto, Piilipuuntie 21",60.1882945,24.7389331
13,992.0,,"Espoo, Suurpelto, Piilipuuntie 21",60.1882945,24.7389331
14,1490.0,,"Espoo, Suurpelto, Piilipuuntie 21",60.1882945,24.7389331
15,950.0,,"Espoo, Matinkyla, Matinniitynkuja 3 A",60.1598838,24.7443331
16,750.0,,"Helsinki, Punavuori, Kankurinkatu 7",60.1596518,24.9367977
17,1350.0,,"Helsinki, Ullanlinna, Korkeavuorenkatu 3 A 11",60.1600067,24.9467645
18,790.0,,"Helsinki, Mellunmaki, Uotinmaentie 9 E",60.2364639,25.1154772
19,1300.0,,"Helsinki, Ullanlinna, Kasarmikatu 4 C",60.1601233,24.9482894
20,830.0,,"Espoo, Niittykumpu, Niittykatu 3 D",60.1689623,24.7607611
21,890.0,,"Helsinki, Lauttasaari, Katajaharjuntie 6 C",60.16464089999999,24.8583758
22,950.0,,"Helsinki, Toolo, Paivarinnankatu 5b A",60.1884505,24.9158352
23,992.0,,"Espoo, Espoonlahti, Ulappakatu 1 F",60.1508655,24.6550839
24,1800.0,,"Helsinki, Tammisalo, Mantypaadentie 17 B",60.194298,25.0690241
25,994.98,,"Espoo, Leppavaara, Linnatullinkatu 1",60.2189922,24.8083298
26,1273.0,,"Helsinki, Jatkasaari, Suezinkatu 3",60.1584061,24.9215332
27,790.0,,"Helsinki, Sornainen, Paaskylanrinne 6 B",60.1878811,24.9662983
