ads_id,price,description,address,lat,lng
121,1190.0,,"Helsinki, Myllypuro, Kiviparintie 2",60.22455189999999,25.0745293
122,1289.0,,"Helsinki, Jatkasaari, Kap Hornin katu 8",60.15762050000001,24.9203444
123,2700.0,,"Helsinki, Kamppi, Lonnrotinkatu 22 A",60.1646482,24.9339688
124,720.0,,"Helsinki, Hakaniemi, Sornaisten rantatie 1B",60.17332440000001,24.9410248
125,1050.0,,"Helsinki, Kalasatama, Capellan puistotie 6",60.1842406,24.982403
126,984.0,,"Helsinki, Kamppi, Eerikinkatu 41",60.1638959,24.9255666
127,880.0,,"Helsinki, Vallila, Eurantie 12 A",60.1960354,24.9621233
128,2072.0,,"Helsinki, Vahantuvantie 6",60.23280200000001,24.8494655
129,1418.0,,"Espoo, Menninkaisentie 5",60.1799905,24.8099659
130,974.0,,"Helsinki, Kamppi, Eerikinkatu 41",60.1638959,24.9255666
131,888.0,,"Helsinki, Kamppi, Eerikinkatu 41",60.1638959,24.9255666
132,1300.0,,"Helsinki, Kamppi, Eerikinkatu 41",60.1638959,24.9255666
133,1410.0,,"Helsinki, Kamppi, Eerikinkatu 41",60.1638959,24.9255666
134,1338.0,,"Helsinki, Kamppi, Eerikinkatu 41",60.1638959,24.9255666
135,1205.0,,"Helsinki, Sornainen, Paaskylanrinne 8 A",60.1881862,24.9666316
136,780.0,,"Helsinki, Niemenmaki, Niemenmaentie 10 A",60.2055539,24.8833344
137,960.0,,"Helsinki, Ruoholahti, Selkamerenkatu 16 B",60.1603658,24.9170359
138,981.07,,"Espoo, Tuomarila, Tuomarilankatu 1",60.20516540000001,24.6839006
139,2100.0,,"Helsinki, Etu-Toolo, Tunturikatu 11 B",60.1743475,24.9254216
140,830.0,,"Helsinki, Lauttasaari, Tallbergin Puistotie 14",60.1577553,24.8764969
141,930.0,,"Helsinki, Herttoniemi, Hitsaajankatu 7",60.19234220000001,25.0280238
142,670.0,,"Helsinki, Pajamaki, Poutamaentie 13 C",60.2189951,24.8527589
143,850.0,,"Helsinki, Taka-Toolo, Valhallankatu 5 A",60.18402289999999,24.913225
144,1571.0,,"Helsinki, Merihaka, Haapaniemenkatu 11",60.17895480000001,24.9603821
145,470.0,,"Helsinki, Kumpula, Koskelantie 37",60.21424520000001,24.9619106
