id,description,price,address,URL,image,lat,lng,agency,bus_stop_code,dist,bus
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2154N
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2150N
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,6172
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,6173
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2150K
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,6171
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2121
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2121K
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2122
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2160K
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2121N
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2121A
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,2160KT2
185713,"kerrostalo, 51, 5 m2 | 2h+k",788,"Espoo, Tapiola, Elosalamantie 4",http://www.vuokraovi.com//vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/185713,http://d2ue5ppt0wsjaa.cloudfront.net/voimg/142/910/568/265/142910568265666_600x450.jpg,60.17110719999999,24.808116,SATO Vuokraus ja myynti / Helsinki,E2302,317,7167
